Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
Bangladesh VS Kenya,Bangladesh,Kenya,Kenya,32 runs,Johannesburg,"Mar 1, 2003",ODI # 1974,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/bangladesh-vs-kenya-35th-match-65267/full-scorecard,https://www.espncricinfo.com/cricket-grounds/the-wanderers-stadium-johannesburg-59120
India VS Pakistan,India,Pakistan,India,6 wickets,Centurion,"Mar 1, 2003",ODI # 1975,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/india-vs-pakistan-36th-match-65268/full-scorecard,https://www.espncricinfo.com/cricket-grounds/supersport-park-centurion-59079
Sri Lanka VS West Indies,Sri Lanka,West Indies,Sri Lanka,6 runs,Cape Town,"Feb 28, 2003",ODI # 1973,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/sri-lanka-vs-west-indies-34th-match-65266/full-scorecard,https://www.espncricinfo.com/cricket-grounds/newlands-cape-town-59068
Zimbabwe VS Netherlands,Zimbabwe,Netherlands,Zimbabwe,99 runs,Bulawayo,"Feb 28, 2003",ODI # 1972,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/zimbabwe-vs-netherlands-33rd-match-65265/full-scorecard,https://www.espncricinfo.com/cricket-grounds/queens-sports-club-bulawayo-59537
Australia VS Namibia,Australia,Namibia,Australia,256 runs,Potchefstroom,"Feb 27, 2003",ODI # 1970,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/australia-vs-namibia-31st-match-65263/full-scorecard,https://www.espncricinfo.com/cricket-grounds/senwes-park-potchefstroom-59172
South Africa VS Canada,South Africa,Canada,South Africa,118 runs,East London,"Feb 27, 2003",ODI # 1971,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/south-africa-vs-canada-32nd-match-65264/full-scorecard,https://www.espncricinfo.com/cricket-grounds/buffalo-park-east-london-59098
England VS India,England,India,India,82 runs,Durban,"Feb 26, 2003",ODI # 1969,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/england-vs-india-30th-match-65262/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kingsmead-durban-59089
Bangladesh VS New Zealand,Bangladesh,New Zealand,New Zealand,7 wickets,Kimberley,"Feb 26, 2003",ODI # 1968,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/bangladesh-vs-new-zealand-29th-match-65261/full-scorecard,https://www.espncricinfo.com/cricket-grounds/diamond-oval-kimberley-59135
Netherlands VS Pakistan,Netherlands,Pakistan,Pakistan,97 runs,Paarl,"Feb 25, 2003",ODI # 1967,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/netherlands-vs-pakistan-28th-match-65260/full-scorecard,https://www.espncricinfo.com/cricket-grounds/boland-park-paarl-59147
Zimbabwe VS Australia,Zimbabwe,Australia,Australia,7 wickets,Bulawayo,"Feb 24, 2003",ODI # 1966,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/zimbabwe-vs-australia-27th-match-65259/full-scorecard,https://www.espncricinfo.com/cricket-grounds/queens-sports-club-bulawayo-59537
Kenya VS Sri Lanka,Kenya,Sri Lanka,Kenya,53 runs,Nairobi (Gym),"Feb 24, 2003",ODI # 1965,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/kenya-vs-sri-lanka-26th-match-65258/full-scorecard,https://www.espncricinfo.com/cricket-grounds/gymkhana-club-ground-nairobi-58661
Canada VS West Indies,Canada,West Indies,West Indies,7 wickets,Centurion,"Feb 23, 2003",ODI # 1963,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/canada-vs-west-indies-24th-match-65256/full-scorecard,https://www.espncricinfo.com/cricket-grounds/supersport-park-centurion-59079
India VS Namibia,India,Namibia,India,181 runs,Pietermaritzburg,"Feb 23, 2003",ODI # 1964,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/india-vs-namibia-25th-match-65257/full-scorecard,https://www.espncricinfo.com/cricket-grounds/city-oval-pietermaritzburg-59151
England VS Pakistan,England,Pakistan,England,112 runs,Cape Town,"Feb 22, 2003",ODI # 1962,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/england-vs-pakistan-23rd-match-65255/full-scorecard,https://www.espncricinfo.com/cricket-grounds/newlands-cape-town-59068
South Africa VS Bangladesh,South Africa,Bangladesh,South Africa,10 wickets,Bloemfontein,"Feb 22, 2003",ODI # 1961,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/south-africa-vs-bangladesh-22nd-match-65254/full-scorecard,https://www.espncricinfo.com/cricket-grounds/mangaung-oval-bloemfontein-59042
Australia VS Netherlands,Australia,Netherlands,Australia,75 runs,Potchefstroom,"Feb 20, 2003",ODI # 1960,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/australia-vs-netherlands-20th-match-65253/full-scorecard,https://www.espncricinfo.com/cricket-grounds/senwes-park-potchefstroom-59172
Canada VS Sri Lanka,Canada,Sri Lanka,Sri Lanka,9 wickets,Paarl,"Feb 19, 2003",ODI # 1958,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/canada-vs-sri-lanka-18th-match-65251/full-scorecard,https://www.espncricinfo.com/cricket-grounds/boland-park-paarl-59147
England VS Namibia,England,Namibia,England,55 runs,Gqeberha,"Feb 19, 2003",ODI # 1959,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/england-vs-namibia-19th-match-65252/full-scorecard,https://www.espncricinfo.com/cricket-grounds/st-george-s-park-gqeberha-59159
Zimbabwe VS India,Zimbabwe,India,India,83 runs,Harare,"Feb 19, 2003",ODI # 1957,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/zimbabwe-vs-india-17th-match-65250/full-scorecard,https://www.espncricinfo.com/cricket-grounds/harare-sports-club-59545
Bangladesh VS West Indies,Bangladesh,West Indies,no result,-,Benoni,"Feb 18, 2003",ODI # 1956,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/bangladesh-vs-west-indies-16th-match-65249/full-scorecard,https://www.espncricinfo.com/cricket-grounds/willowmoore-park-benoni-59039
England VS Netherlands,England,Netherlands,England,6 wickets,East London,"Feb 16, 2003",ODI # 1953,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/england-vs-netherlands-13th-match-65246/full-scorecard,https://www.espncricinfo.com/cricket-grounds/buffalo-park-east-london-59098
Namibia VS Pakistan,Namibia,Pakistan,Pakistan,171 runs,Kimberley,"Feb 16, 2003",ODI # 1954,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/namibia-vs-pakistan-14th-match-65247/full-scorecard,https://www.espncricinfo.com/cricket-grounds/diamond-oval-kimberley-59135
South Africa VS New Zealand,South Africa,New Zealand,New Zealand,9 wickets,Johannesburg,"Feb 16, 2003",ODI # 1955,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/south-africa-vs-new-zealand-15th-match-65248/full-scorecard,https://www.espncricinfo.com/cricket-grounds/the-wanderers-stadium-johannesburg-59120
Canada VS Kenya,Canada,Kenya,Kenya,4 wickets,Cape Town,"Feb 15, 2003",ODI # 1952,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/canada-vs-kenya-12th-match-65245/full-scorecard,https://www.espncricinfo.com/cricket-grounds/newlands-cape-town-59068
Australia VS India,Australia,India,Australia,9 wickets,Centurion,"Feb 15, 2003",ODI # 1951,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/australia-vs-india-11th-match-65244/full-scorecard,https://www.espncricinfo.com/cricket-grounds/supersport-park-centurion-59079
Bangladesh VS Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg,"Feb 14, 2003",ODI # 1950,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/bangladesh-vs-sri-lanka-10th-match-65243/full-scorecard,https://www.espncricinfo.com/cricket-grounds/city-oval-pietermaritzburg-59151
New Zealand VS West Indies,New Zealand,West Indies,New Zealand,20 runs,Gqeberha,"Feb 13, 2003",ODI # 1949,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/new-zealand-vs-west-indies-9th-match-65242/full-scorecard,https://www.espncricinfo.com/cricket-grounds/st-george-s-park-gqeberha-59159
South Africa VS Kenya,South Africa,Kenya,South Africa,10 wickets,Potchefstroom,"Feb 12, 2003",ODI # 1947,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/south-africa-vs-kenya-6th-match-65240/full-scorecard,https://www.espncricinfo.com/cricket-grounds/senwes-park-potchefstroom-59172
India VS Netherlands,India,Netherlands,India,68 runs,Paarl,"Feb 12, 2003",ODI # 1948,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/india-vs-netherlands-7th-match-65241/full-scorecard,https://www.espncricinfo.com/cricket-grounds/boland-park-paarl-59147
Bangladesh VS Canada,Bangladesh,Canada,Canada,60 runs,Durban,"Feb 11, 2003",ODI # 1946,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/bangladesh-vs-canada-5th-match-65239/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kingsmead-durban-59089
Australia VS Pakistan,Australia,Pakistan,Australia,82 runs,Johannesburg,"Feb 11, 2003",ODI # 1945,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/australia-vs-pakistan-4th-match-65238/full-scorecard,https://www.espncricinfo.com/cricket-grounds/the-wanderers-stadium-johannesburg-59120
New Zealand VS Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,47 runs,Bloemfontein,"Feb 10, 2003",ODI # 1944,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/new-zealand-vs-sri-lanka-3rd-match-65237/full-scorecard,https://www.espncricinfo.com/cricket-grounds/mangaung-oval-bloemfontein-59042
Zimbabwe VS Namibia,Zimbabwe,Namibia,Zimbabwe,86 runs,Harare,"Feb 10, 2003",ODI # 1943,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/zimbabwe-vs-namibia-2nd-match-65236/full-scorecard,https://www.espncricinfo.com/cricket-grounds/harare-sports-club-59545
South Africa VS West Indies,South Africa,West Indies,West Indies,3 runs,Cape Town,"Feb 9, 2003",ODI # 1942,https://www.espncricinfo.com/series/icc-world-cup-2002-03-61124/south-africa-vs-west-indies-1st-match-65235/full-scorecard,https://www.espncricinfo.com/cricket-grounds/newlands-cape-town-59068
