Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
Afghanistan VS England,Afghanistan,England,England,9 wickets,Sydney,"Mar 13, 2015",ODI # 3635,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/afghanistan-vs-england-38th-match-pool-a-656473/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544
New Zealand VS Bangladesh,New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,"Mar 13, 2015",ODI # 3634,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-bangladesh-37th-match-pool-a-656471/full-scorecard,https://www.espncricinfo.com/cricket-grounds/seddon-park-hamilton-58831
South Africa VS U.A.E.,South Africa,U.A.E.,South Africa,146 runs,Wellington,"Mar 12, 2015",ODI # 3633,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/south-africa-vs-united-arab-emirates-36th-match-pool-b-656469/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sky-stadium-wellington-58899
Scotland VS Sri Lanka,Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,"Mar 11, 2015",ODI # 3632,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/scotland-vs-sri-lanka-35th-match-pool-a-656467/full-scorecard,https://www.espncricinfo.com/cricket-grounds/bellerive-oval-hobart-56407
India VS Ireland,India,Ireland,India,8 wickets,Hamilton,"Mar 10, 2015",ODI # 3631,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/india-vs-ireland-34th-match-pool-b-656465/full-scorecard,https://www.espncricinfo.com/cricket-grounds/seddon-park-hamilton-58831
Bangladesh VS England,Bangladesh,England,Bangladesh,15 runs,Adelaide,"Mar 9, 2015",ODI # 3630,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/bangladesh-vs-england-33rd-match-pool-a-656463/full-scorecard,https://www.espncricinfo.com/cricket-grounds/adelaide-oval-56293
Australia VS Sri Lanka,Australia,Sri Lanka,Australia,64 runs,Sydney,"Mar 8, 2015",ODI # 3629,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-sri-lanka-32nd-match-pool-a-656461/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544
New Zealand VS Afghanistan,New Zealand,Afghanistan,New Zealand,6 wickets,Napier,"Mar 8, 2015",ODI # 3628,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-afghanistan-31st-match-pool-a-656459/full-scorecard,https://www.espncricinfo.com/cricket-grounds/mclean-park-napier-58857
Ireland VS Zimbabwe,Ireland,Zimbabwe,Ireland,5 runs,Hobart,"Mar 7, 2015",ODI # 3627,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/ireland-vs-zimbabwe-30th-match-pool-b-656457/full-scorecard,https://www.espncricinfo.com/cricket-grounds/bellerive-oval-hobart-56407
Pakistan VS South Africa,Pakistan,South Africa,Pakistan,29 runs,Auckland,"Mar 7, 2015",ODI # 3626,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/pakistan-vs-south-africa-29th-match-pool-b-656455/full-scorecard,https://www.espncricinfo.com/cricket-grounds/eden-park-auckland-58792
India VS West Indies,India,West Indies,India,4 wickets,Perth,"Mar 6, 2015",ODI # 3625,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/india-vs-west-indies-28th-match-pool-b-656453/full-scorecard,https://www.espncricinfo.com/cricket-grounds/w-a-c-a-ground-perth-56490
Bangladesh VS Scotland,Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,"Mar 5, 2015",ODI # 3624,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/bangladesh-vs-scotland-27th-match-pool-a-656451/full-scorecard,https://www.espncricinfo.com/cricket-grounds/saxton-oval-nelson-424917
Australia VS Afghanistan,Australia,Afghanistan,Australia,275 runs,Perth,"Mar 4, 2015",ODI # 3623,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-afghanistan-26th-match-pool-a-656449/full-scorecard,https://www.espncricinfo.com/cricket-grounds/w-a-c-a-ground-perth-56490
Pakistan VS U.A.E.,Pakistan,U.A.E.,Pakistan,129 runs,Napier,"Mar 4, 2015",ODI # 3622,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/pakistan-vs-united-arab-emirates-25th-match-pool-b-656447/full-scorecard,https://www.espncricinfo.com/cricket-grounds/mclean-park-napier-58857
Ireland VS South Africa,Ireland,South Africa,South Africa,201 runs,Canberra,"Mar 3, 2015",ODI # 3621,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/ireland-vs-south-africa-24th-match-pool-b-656445/full-scorecard,https://www.espncricinfo.com/cricket-grounds/manuka-oval-canberra-56370
Pakistan VS Zimbabwe,Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,"Mar 1, 2015",ODI # 3620,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/pakistan-vs-zimbabwe-23rd-match-pool-b-656443/full-scorecard,https://www.espncricinfo.com/cricket-grounds/brisbane-cricket-ground-woolloongabba-brisbane-56336
England VS Sri Lanka,England,Sri Lanka,Sri Lanka,9 wickets,Wellington,"Mar 1, 2015",ODI # 3619,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/england-vs-sri-lanka-22nd-match-pool-a-656441/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sky-stadium-wellington-58899
India VS U.A.E.,India,U.A.E.,India,9 wickets,Perth,"Feb 28, 2015",ODI # 3618,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/india-vs-united-arab-emirates-21st-match-pool-b-656439/full-scorecard,https://www.espncricinfo.com/cricket-grounds/w-a-c-a-ground-perth-56490
New Zealand VS Australia,New Zealand,Australia,New Zealand,1 wicket,Auckland,"Feb 28, 2015",ODI # 3617,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-australia-20th-match-pool-a-656437/full-scorecard,https://www.espncricinfo.com/cricket-grounds/eden-park-auckland-58792
South Africa VS West Indies,South Africa,West Indies,South Africa,257 runs,Sydney,"Feb 27, 2015",ODI # 3616,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/south-africa-vs-west-indies-19th-match-pool-b-656435/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544
Bangladesh VS Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,"Feb 26, 2015",ODI # 3615,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/bangladesh-vs-sri-lanka-18th-match-pool-a-656433/full-scorecard,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441
Afghanistan VS Scotland,Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,"Feb 26, 2015",ODI # 3614,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/afghanistan-vs-scotland-17th-match-pool-a-656431/full-scorecard,https://www.espncricinfo.com/cricket-grounds/university-oval-dunedin-58827
Ireland VS U.A.E.,Ireland,U.A.E.,Ireland,2 wickets,Brisbane,"Feb 25, 2015",ODI # 3613,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/ireland-vs-united-arab-emirates-16th-match-pool-b-656429/full-scorecard,https://www.espncricinfo.com/cricket-grounds/brisbane-cricket-ground-woolloongabba-brisbane-56336
West Indies VS Zimbabwe,West Indies,Zimbabwe,West Indies,73 runs,Canberra,"Feb 24, 2015",ODI # 3612,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/west-indies-vs-zimbabwe-15th-match-pool-b-656427/full-scorecard,https://www.espncricinfo.com/cricket-grounds/manuka-oval-canberra-56370
England VS Scotland,England,Scotland,England,119 runs,Christchurch,"Feb 23, 2015",ODI # 3611,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/england-vs-scotland-14th-match-pool-a-656425/full-scorecard,https://www.espncricinfo.com/cricket-grounds/hagley-oval-christchurch-58810
India VS South Africa,India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015",ODI # 3610,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/india-vs-south-africa-13th-match-pool-b-656423/full-scorecard,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441
Afghanistan VS Sri Lanka,Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,"Feb 22, 2015",ODI # 3609,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/afghanistan-vs-sri-lanka-12th-match-pool-a-656421/full-scorecard,https://www.espncricinfo.com/cricket-grounds/university-oval-dunedin-58827
Pakistan VS West Indies,Pakistan,West Indies,West Indies,150 runs,Christchurch,"Feb 21, 2015",ODI # 3608,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/pakistan-vs-west-indies-10th-match-pool-b-656417/full-scorecard,https://www.espncricinfo.com/cricket-grounds/hagley-oval-christchurch-58810
New Zealand VS England,New Zealand,England,New Zealand,8 wickets,Wellington,"Feb 20, 2015",ODI # 3607,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-england-9th-match-pool-a-656415/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sky-stadium-wellington-58899
U.A.E. VS Zimbabwe,U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,"Feb 19, 2015",ODI # 3606,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/united-arab-emirates-vs-zimbabwe-8th-match-pool-b-656413/full-scorecard,https://www.espncricinfo.com/cricket-grounds/saxton-oval-nelson-424917
Afghanistan VS Bangladesh,Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,"Feb 18, 2015",ODI # 3605,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/afghanistan-vs-bangladesh-7th-match-pool-a-656411/full-scorecard,https://www.espncricinfo.com/cricket-grounds/manuka-oval-canberra-56370
New Zealand VS Scotland,New Zealand,Scotland,New Zealand,3 wickets,Dunedin,"Feb 17, 2015",ODI # 3604,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-scotland-6th-match-pool-a-656409/full-scorecard,https://www.espncricinfo.com/cricket-grounds/university-oval-dunedin-58827
Ireland VS West Indies,Ireland,West Indies,Ireland,4 wickets,Nelson,"Feb 16, 2015",ODI # 3603,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/ireland-vs-west-indies-5th-match-pool-b-656407/full-scorecard,https://www.espncricinfo.com/cricket-grounds/saxton-oval-nelson-424917
India VS Pakistan,India,Pakistan,India,76 runs,Adelaide,"Feb 15, 2015",ODI # 3602,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/india-vs-pakistan-4th-match-pool-b-656405/full-scorecard,https://www.espncricinfo.com/cricket-grounds/adelaide-oval-56293
South Africa VS Zimbabwe,South Africa,Zimbabwe,South Africa,62 runs,Hamilton,"Feb 15, 2015",ODI # 3601,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/south-africa-vs-zimbabwe-3rd-match-pool-b-656403/full-scorecard,https://www.espncricinfo.com/cricket-grounds/seddon-park-hamilton-58831
Australia VS England,Australia,England,Australia,111 runs,Melbourne,"Feb 14, 2015",ODI # 3600,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-england-2nd-match-pool-a-656401/full-scorecard,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441
New Zealand VS Sri Lanka,New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,"Feb 14, 2015",ODI # 3599,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-sri-lanka-1st-match-pool-a-656399/full-scorecard,https://www.espncricinfo.com/cricket-grounds/hagley-oval-christchurch-58810
