Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
Australia VS India,Australia,India,Australia,77 runs,The Oval,"Jun 4, 1999",ODI # 1473,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/australia-vs-india-1st-super-65223/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127
Bangladesh VS Pakistan,Bangladesh,Pakistan,Bangladesh,62 runs,Northampton,"May 31, 1999",ODI # 1471,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/bangladesh-vs-pakistan-29th-match-65221/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-northampton-57207
Scotland VS New Zealand,Scotland,New Zealand,New Zealand,6 wickets,Edinburgh,"May 31, 1999",ODI # 1472,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/scotland-vs-new-zealand-30th-match-65222/full-scorecard,https://www.espncricinfo.com/cricket-grounds/grange-cricket-club-raeburn-place-edinburgh-59269
Kenya VS Sri Lanka,Kenya,Sri Lanka,Sri Lanka,45 runs,Southampton,"May 30, 1999",ODI # 1469,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/kenya-vs-sri-lanka-27th-match-65219/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-southampton-57309
Australia VS West Indies,Australia,West Indies,Australia,6 wickets,Manchester,"May 30, 1999",ODI # 1470,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/australia-vs-west-indies-28th-match-65220/full-scorecard,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160
England VS India,England,India,India,63 runs,Birmingham,"May 29-30, 1999",ODI # 1467,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/england-vs-india-25th-match-65217/full-scorecard,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788
South Africa VS Zimbabwe,South Africa,Zimbabwe,Zimbabwe,48 runs,Chelmsford,"May 29, 1999",ODI # 1468,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/south-africa-vs-zimbabwe-26th-match-65218/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-chelmsford-56887
New Zealand VS Pakistan,New Zealand,Pakistan,Pakistan,62 runs,Derby,"May 28, 1999",ODI # 1466,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/new-zealand-vs-pakistan-24th-match-65216/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-derby-56953
Australia VS Bangladesh,Australia,Bangladesh,Australia,7 wickets,Chester-le-Street,"May 27, 1999",ODI # 1464,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/australia-vs-bangladesh-22nd-match-65214/full-scorecard,https://www.espncricinfo.com/cricket-grounds/riverside-ground-chester-le-street-56901
Scotland VS West Indies,Scotland,West Indies,West Indies,8 wickets,Leicester,"May 27, 1999",ODI # 1465,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/scotland-vs-west-indies-23rd-match-65215/full-scorecard,https://www.espncricinfo.com/cricket-grounds/grace-road-leicester-57100
India VS Sri Lanka,India,Sri Lanka,India,157 runs,Taunton,"May 26, 1999",ODI # 1463,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/india-vs-sri-lanka-21st-match-65213/full-scorecard,https://www.espncricinfo.com/cricket-grounds/the-cooper-associates-county-ground-taunton-57351
Kenya VS South Africa,Kenya,South Africa,South Africa,7 wickets,Amstelveen,"May 26, 1999",ODI # 1462,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/kenya-vs-south-africa-20th-match-65212/full-scorecard,https://www.espncricinfo.com/cricket-grounds/vra-ground-amstelveen-58686
England VS Zimbabwe,England,Zimbabwe,England,7 wickets,Nottingham,"May 25, 1999",ODI # 1461,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/england-vs-zimbabwe-19th-match-65211/full-scorecard,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219
Scotland VS Bangladesh,Scotland,Bangladesh,Bangladesh,22 runs,Edinburgh,"May 24, 1999",ODI # 1459,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/scotland-vs-bangladesh-17th-match-65209/full-scorecard,https://www.espncricinfo.com/cricket-grounds/grange-cricket-club-raeburn-place-edinburgh-59269
New Zealand VS West Indies,New Zealand,West Indies,West Indies,7 wickets,Southampton,"May 24, 1999",ODI # 1460,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/new-zealand-vs-west-indies-18th-match-65210/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-southampton-57309
India VS Kenya,India,Kenya,India,94 runs,Bristol,"May 23, 1999",ODI # 1457,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/india-vs-kenya-15th-match-65207/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-bristol-56831
Australia VS Pakistan,Australia,Pakistan,Pakistan,10 runs,Leeds,"May 23, 1999",ODI # 1458,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/australia-vs-pakistan-16th-match-65208/full-scorecard,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092
England VS South Africa,England,South Africa,South Africa,122 runs,The Oval,"May 22, 1999",ODI # 1455,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/england-vs-south-africa-13th-match-65205/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127
Sri Lanka VS Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Worcester,"May 22, 1999",ODI # 1456,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/sri-lanka-vs-zimbabwe-14th-match-65206/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-new-road-worcester-57424
Bangladesh VS West Indies,Bangladesh,West Indies,West Indies,7 wickets,Dublin,"May 21, 1999",ODI # 1454,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/bangladesh-vs-west-indies-12th-match-65204/full-scorecard,https://www.espncricinfo.com/cricket-grounds/castle-avenue-dublin-58604
Australia VS New Zealand,Australia,New Zealand,New Zealand,5 wickets,Cardiff,"May 20, 1999",ODI # 1452,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/australia-vs-new-zealand-10th-match-65202/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sophia-gardens-cardiff-56874
Pakistan VS Scotland,Pakistan,Scotland,Pakistan,94 runs,Chester-le-Street,"May 20, 1999",ODI # 1453,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/pakistan-vs-scotland-11th-match-65203/full-scorecard,https://www.espncricinfo.com/cricket-grounds/riverside-ground-chester-le-street-56901
India VS Zimbabwe,India,Zimbabwe,Zimbabwe,3 runs,Leicester,"May 19, 1999",ODI # 1450,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/india-vs-zimbabwe-8th-match-65200/full-scorecard,https://www.espncricinfo.com/cricket-grounds/grace-road-leicester-57100
South Africa VS Sri Lanka,South Africa,Sri Lanka,South Africa,89 runs,Northampton,"May 19, 1999",ODI # 1451,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/south-africa-vs-sri-lanka-9th-match-65201/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-northampton-57207
England VS Kenya,England,Kenya,England,9 wickets,Canterbury,"May 18, 1999",ODI # 1449,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/england-vs-kenya-7th-match-65199/full-scorecard,https://www.espncricinfo.com/cricket-grounds/st-lawrence-ground-canterbury-56869
Bangladesh VS New Zealand,Bangladesh,New Zealand,New Zealand,6 wickets,Chelmsford,"May 17, 1999",ODI # 1448,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/bangladesh-vs-new-zealand-6th-match-65198/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-chelmsford-56887
Australia VS Scotland,Australia,Scotland,Australia,6 wickets,Worcester,"May 16, 1999",ODI # 1446,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/australia-vs-scotland-4th-match-65196/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-new-road-worcester-57424
Pakistan VS West Indies,Pakistan,West Indies,Pakistan,27 runs,Bristol,"May 16, 1999",ODI # 1447,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/pakistan-vs-west-indies-5th-match-65197/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-bristol-56831
India VS South Africa,India,South Africa,South Africa,4 wickets,Hove,"May 15, 1999",ODI # 1444,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/india-vs-south-africa-2nd-match-65194/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-hove-56825
Kenya VS Zimbabwe,Kenya,Zimbabwe,Zimbabwe,5 wickets,Taunton,"May 15, 1999",ODI # 1445,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/kenya-vs-zimbabwe-3rd-match-65195/full-scorecard,https://www.espncricinfo.com/cricket-grounds/the-cooper-associates-county-ground-taunton-57351
England VS Sri Lanka,England,Sri Lanka,England,8 wickets,Lord's,"May 14, 1999",ODI # 1443,https://www.espncricinfo.com/series/icc-world-cup-1999-61046/england-vs-sri-lanka-1st-match-65193/full-scorecard,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129
