id,Ground,location,Also knows as,Established,Named After,Capacity,End Names,Flood Lights,Home Teams,Other Sports,Pitch,Curator,Current Local Time,Playing area
ODI # 22,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160,"Stretford,  Manchester",Emirates Old Trafford,1857,,19000,"James Anderson End, Brian Statham End","Yes, Installed in 2011",Lancashire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 74,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129,"St John's Wood Road,  London",Lord's Cricket Ground,1814,Thomas Lord,30000,"Pavilion End, Nursery End","Yes, 2009","Marylebone Cricket Club, Middlesex","Lacrosse, Hockey, Archery (2012 Olympics)",Grass,Mick Hunt,"10:45, Sat Nov 23, 2024",
ODI # 72,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160,"Stretford,  Manchester",Emirates Old Trafford,1857,,19000,"James Anderson End, Brian Statham End","Yes, Installed in 2011",Lancashire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 73,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127, London,The Oval; The AMP Oval; The Foster's Oval; The Brit Oval; The Kia Oval,1845,,23500,"Pavilion End, Vauxhall End","Yes, 2009","England, Surrey",,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 68,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160,"Stretford,  Manchester",Emirates Old Trafford,1857,,19000,"James Anderson End, Brian Statham End","Yes, Installed in 2011",Lancashire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 69,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219, Nottingham,Trent Bridge Ground,1841,River Trent,"15,350 (to be 17,000)","Stuart Broad End, Radcliffe Road End","Yes, installed in 2008",Nottinghamshire,Football (Nottm Forest and Notts County) 1860-1910,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 70,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788, Birmingham,,1882,,"24,803","Birmingham End (previously City End), Pavilion End","Yes, Installed in 2011","England, Warwickshire",,Grass,Gary Barwell,"10:45, Sat Nov 23, 2024",
ODI # 71,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 65,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 66,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219, Nottingham,Trent Bridge Ground,1841,River Trent,"15,350 (to be 17,000)","Stuart Broad End, Radcliffe Road End","Yes, installed in 2008",Nottinghamshire,Football (Nottm Forest and Notts County) 1860-1910,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 67,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160,"Stretford,  Manchester",Emirates Old Trafford,1857,,19000,"James Anderson End, Brian Statham End","Yes, Installed in 2011",Lancashire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 61,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788, Birmingham,,1882,,"24,803","Birmingham End (previously City End), Pavilion End","Yes, Installed in 2011","England, Warwickshire",,Grass,Gary Barwell,"10:45, Sat Nov 23, 2024",
ODI # 62,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219, Nottingham,Trent Bridge Ground,1841,River Trent,"15,350 (to be 17,000)","Stuart Broad End, Radcliffe Road End","Yes, installed in 2008",Nottinghamshire,Football (Nottm Forest and Notts County) 1860-1910,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 63,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129,"St John's Wood Road,  London",Lord's Cricket Ground,1814,Thomas Lord,30000,"Pavilion End, Nursery End","Yes, 2009","Marylebone Cricket Club, Middlesex","Lacrosse, Hockey, Archery (2012 Olympics)",Grass,Mick Hunt,"10:45, Sat Nov 23, 2024",
ODI # 64,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 223,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129,"St John's Wood Road,  London",Lord's Cricket Ground,1814,Thomas Lord,30000,"Pavilion End, Nursery End","Yes, 2009","Marylebone Cricket Club, Middlesex","Lacrosse, Hockey, Archery (2012 Olympics)",Grass,Mick Hunt,"10:45, Sat Nov 23, 2024",
ODI # 221,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160,"Stretford,  Manchester",Emirates Old Trafford,1857,,19000,"James Anderson End, Brian Statham End","Yes, Installed in 2011",Lancashire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 222,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127, London,The Oval; The AMP Oval; The Foster's Oval; The Brit Oval; The Kia Oval,1845,,23500,"Pavilion End, Vauxhall End","Yes, 2009","England, Surrey",,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 217,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 218,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219, Nottingham,Trent Bridge Ground,1841,River Trent,"15,350 (to be 17,000)","Stuart Broad End, Radcliffe Road End","Yes, installed in 2008",Nottinghamshire,Football (Nottm Forest and Notts County) 1860-1910,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 219,https://www.espncricinfo.com/cricket-grounds/county-ground-chelmsford-56887,"New Writtle Street,  Chelmsford",The Ford County Ground,,,6500,"River End, Hayes Close End",Yes,Essex,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 220,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788, Birmingham,,1882,,"24,803","Birmingham End (previously City End), Pavilion End","Yes, Installed in 2011","England, Warwickshire",,Grass,Gary Barwell,"10:45, Sat Nov 23, 2024",
ODI # 213,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160,"Stretford,  Manchester",Emirates Old Trafford,1857,,19000,"James Anderson End, Brian Statham End","Yes, Installed in 2011",Lancashire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 214,https://www.espncricinfo.com/cricket-grounds/county-ground-derby-56953,"Nottingham Road,  Derby","Racecourse Ground, The Incora County Ground",1863,,9500,"Grandstand End, Scoreboard End",Yes,Derbyshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 215,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129,"St John's Wood Road,  London",Lord's Cricket Ground,1814,Thomas Lord,30000,"Pavilion End, Nursery End","Yes, 2009","Marylebone Cricket Club, Middlesex","Lacrosse, Hockey, Archery (2012 Olympics)",Grass,Mick Hunt,"10:45, Sat Nov 23, 2024",
ODI # 216,https://www.espncricinfo.com/cricket-grounds/nevill-ground-tunbridge-wells-57367,"Nevill Gate,  Tunbridge Wells",,1898,Marquess of Abergavenny (family name of Nevill),4500,"Pavilion End, Railway End",,Kent,"Football, cycling, athletics, archery, hockey, tennis",Grass,,"10:45, Sat Nov 23, 2024",
ODI # 211,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 212,https://www.espncricinfo.com/cricket-grounds/county-ground-southampton-57309,"Northlands Road,  Southampton",,1885,,7000,"City End, Northlands Road",No,Hampshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 209,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788, Birmingham,,1882,,"24,803","Birmingham End (previously City End), Pavilion End","Yes, Installed in 2011","England, Warwickshire",,Grass,Gary Barwell,"10:45, Sat Nov 23, 2024",
ODI # 210,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127, London,The Oval; The AMP Oval; The Foster's Oval; The Brit Oval; The Kia Oval,1845,,23500,"Pavilion End, Vauxhall End","Yes, 2009","England, Surrey",,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 205,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129,"St John's Wood Road,  London",Lord's Cricket Ground,1814,Thomas Lord,30000,"Pavilion End, Nursery End","Yes, 2009","Marylebone Cricket Club, Middlesex","Lacrosse, Hockey, Archery (2012 Olympics)",Grass,Mick Hunt,"10:45, Sat Nov 23, 2024",
ODI # 206,https://www.espncricinfo.com/cricket-grounds/county-ground-bristol-56831,"Bishopston,  Bristol",The Royal & Sun Alliance County Ground; Ashley Down Ground; Fry's Ground; Phoenix County Ground,1889,,"7000 (15,000 ODIs)","Pavilion End, Ashley Down Road End",Installed in 2016,Gloucestershire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 207,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219, Nottingham,Trent Bridge Ground,1841,River Trent,"15,350 (to be 17,000)","Stuart Broad End, Radcliffe Road End","Yes, installed in 2008",Nottinghamshire,Football (Nottm Forest and Notts County) 1860-1910,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 208,https://www.espncricinfo.com/cricket-grounds/county-ground-new-road-worcester-57424,"New Road,  Worcester",,1899,,4500,"New Road End, Diglis End",No,Worcestershire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 201,https://www.espncricinfo.com/cricket-grounds/the-cooper-associates-county-ground-taunton-57351,"St James Street,  Taunton","Athletic Ground, 	County Ground",1882,,6500,"River End, Old Pavilion End",Yes,Somerset,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 202,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788, Birmingham,,1882,,"24,803","Birmingham End (previously City End), Pavilion End","Yes, Installed in 2011","England, Warwickshire",,Grass,Gary Barwell,"10:45, Sat Nov 23, 2024",
ODI # 203,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 204,https://www.espncricinfo.com/cricket-grounds/grace-road-leicester-57100, Leicester,County Ground,1878,,6000,"Pavilion End, Bennett End",Temporary,Leicestershire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 197,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127, London,The Oval; The AMP Oval; The Foster's Oval; The Brit Oval; The Kia Oval,1845,,23500,"Pavilion End, Vauxhall End","Yes, 2009","England, Surrey",,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 198,https://www.espncricinfo.com/cricket-grounds/st-helen-s-swansea-57347, Swansea,,1873,Saint Helen's convent was nearby,4500 (approx),"Mumbles Road End, Pavilion End",Yes,Glamorgan,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 199,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219, Nottingham,Trent Bridge Ground,1841,River Trent,"15,350 (to be 17,000)","Stuart Broad End, Radcliffe Road End","Yes, installed in 2008",Nottinghamshire,Football (Nottm Forest and Notts County) 1860-1910,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 200,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160,"Stretford,  Manchester",Emirates Old Trafford,1857,,19000,"James Anderson End, Brian Statham End","Yes, Installed in 2011",Lancashire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 477,https://www.espncricinfo.com/cricket-grounds/eden-gardens-kolkata-57980, Kolkata,,1864,,"66,000","High Court End, Pavilion End",Yes,,,Grass,Probir Mukherjee,"16:15, Sat Nov 23, 2024",
ODI # 476,https://www.espncricinfo.com/cricket-grounds/wankhede-stadium-mumbai-58324, Mumbai,,1974,,"32,000","Garware Pavilion End, Tata End",Yes,Mumbai,,Grass,,"16:15, Sat Nov 23, 2024",
ODI # 475,https://www.espncricinfo.com/cricket-grounds/gaddafi-stadium-lahore-58967, Lahore,Lahore Stadium,,,,"Pavilion End, College End",Yes,,,,,"15:45, Sat Nov 23, 2024",
ODI # 474,https://www.espncricinfo.com/cricket-grounds/vidarbha-c-a-ground-nagpur-58344, Nagpur,,,,"40,000","Jaika End, Church End",No,Vidarbha,,,Kishore Pradhan,"16:15, Sat Nov 23, 2024",
ODI # 473,https://www.espncricinfo.com/cricket-grounds/national-stadium-karachi-58956, Karachi,,,,,"Pavilion End, University End",Yes,"Pakistan, Karachi",,,,"15:45, Sat Nov 23, 2024",
ODI # 471,https://www.espncricinfo.com/cricket-grounds/barabati-stadium-cuttack-58027, Cuttack,,,,,"Mahanadi River End, Pavilion End",Yes,"India, Orissa",,Grass,,"16:15, Sat Nov 23, 2024",
ODI # 472,https://www.espncricinfo.com/cricket-grounds/nehru-stadium-pune-58383, Pune,Club of Maharashtra,1969,,25000,"Tilak Road end, Pavilion end",No,Maharashtra,Wrestling,,Chandu Borde,"16:15, Sat Nov 23, 2024",
ODI # 470,https://www.espncricinfo.com/cricket-grounds/sector-16-stadium-chandigarh-57993, Chandigarh,,,,,,,"Haryana, Punjab",,,,"16:15, Sat Nov 23, 2024",
ODI # 468,https://www.espncricinfo.com/cricket-grounds/sawai-mansingh-stadium-jaipur-58162, Jaipur,,,,,"North End, South End",Yes,Rajasthan,,Grass,,"16:15, Sat Nov 23, 2024",
ODI # 469,https://www.espncricinfo.com/cricket-grounds/narendra-modi-stadium-motera-ahmedabad-57851,"Motera,  Ahmedabad","Gujarat Stadium, Sardar Patel Stadium",1982,,"132,000","Adani Pavilion End, Jio End",Yes,Gujarat,,,Bagira Thakur,"16:15, Sat Nov 23, 2024",
ODI # 467,https://www.espncricinfo.com/cricket-grounds/iqbal-stadium-faisalabad-58927, Faisalabad,Lyallpur Stadium; National Stadium; City Stadium,,,,"Pavilion End, Golf Course End",Yes - 2006,Faisalabad,,grass,,"15:45, Sat Nov 23, 2024",
ODI # 466,https://www.espncricinfo.com/cricket-grounds/eden-gardens-kolkata-57980, Kolkata,,1864,,"66,000","High Court End, Pavilion End",Yes,,,Grass,Probir Mukherjee,"16:15, Sat Nov 23, 2024",
ODI # 465,https://www.espncricinfo.com/cricket-grounds/arun-jaitley-stadium-delhi-58040, Delhi,"Feroz Shah Kotla, Willingdon Pavilion",1883,,"55,000","Stadium End, Pavilion End",,Delhi,,,,"16:16, Sat Nov 23, 2024",
ODI # 464,https://www.espncricinfo.com/cricket-grounds/green-park-kanpur-58204,"Civil Lines,  Kanpur",Modi Stadium,1945,,"45,000","Mill Pavilion End, Hostel End",Yes,Uttar Pradesh,Football,Grass,Shivkumar,"16:16, Sat Nov 23, 2024",
ODI # 463,https://www.espncricinfo.com/cricket-grounds/national-stadium-karachi-58956, Karachi,,,,,"Pavilion End, University End",Yes,"Pakistan, Karachi",,,,"15:45, Sat Nov 23, 2024",
ODI # 462,https://www.espncricinfo.com/cricket-grounds/nehru-stadium-indore-58151, Indore,,,,,,,Madhya Pradesh,,,,"16:16, Sat Nov 23, 2024",
ODI # 460,https://www.espncricinfo.com/cricket-grounds/arbab-niaz-stadium-peshawar-58988, Peshawar,Shahi Bagh Stadium,,,,"Pavilion End, College End",,Peshawar Cricket Association,,,,"15:46, Sat Nov 23, 2024",
ODI # 461,https://www.espncricinfo.com/cricket-grounds/wankhede-stadium-mumbai-58324, Mumbai,,1974,,"32,000","Garware Pavilion End, Tata End",Yes,Mumbai,,Grass,,"16:15, Sat Nov 23, 2024",
ODI # 459,https://www.espncricinfo.com/cricket-grounds/gaddafi-stadium-lahore-58967, Lahore,Lahore Stadium,,,,"Pavilion End, College End",Yes,,,,,"15:45, Sat Nov 23, 2024",
ODI # 458,https://www.espncricinfo.com/cricket-grounds/m-chinnaswamy-stadium-bengaluru-57897, Bengaluru,"Karnataka State Cricket Association Stadium, Chinnaswamy Stadium",1969,,"40,000","Pavilion End, BEML End",Yes,Karnataka,,,Narayan Raju,"16:16, Sat Nov 23, 2024",
ODI # 457,https://www.espncricinfo.com/cricket-grounds/national-stadium-karachi-58956, Karachi,,,,,"Pavilion End, University End",Yes,"Pakistan, Karachi",,,,"15:45, Sat Nov 23, 2024",
ODI # 456,https://www.espncricinfo.com/cricket-grounds/ma-chidambaram-stadium-chepauk-chennai-58008,"Chepauk,  Chennai",Chepauk; Madras Cricket Club Ground,,"The President of BCCI, and also the President of the TNCA","38,000","Anna Pavilion End, V Pattabhiraman Gate End",Since the 1996 World Cup,Tamil Nadu,,Grass,,"16:16, Sat Nov 23, 2024",
ODI # 455,https://www.espncricinfo.com/cricket-grounds/pindi-club-ground-rawalpindi-59004, Rawalpindi,Army Sports Ground,,,,,,Rawalpindi,,,,"15:46, Sat Nov 23, 2024",
ODI # 454,https://www.espncricinfo.com/cricket-grounds/lal-bahadur-shastri-stadium-hyderabad-58136, Hyderabad,Fateh Maidan,,"Lal Bahadur Shastri, Prime Minister of India (1964-1966)",,"Pavilion End, Hill Fort End",Yes,Hyderabad (India),,,,"16:16, Sat Nov 23, 2024",
ODI # 452,https://www.espncricinfo.com/cricket-grounds/jinnah-stadium-gujranwala-58930, Gujranwala,Municipal Stadium,,,,,,Gujranwala Cricket Association,,,,"15:46, Sat Nov 23, 2024",
ODI # 453,https://www.espncricinfo.com/cricket-grounds/ma-chidambaram-stadium-chepauk-chennai-58008,"Chepauk,  Chennai",Chepauk; Madras Cricket Club Ground,,"The President of BCCI, and also the President of the TNCA","38,000","Anna Pavilion End, V Pattabhiraman Gate End",Since the 1996 World Cup,Tamil Nadu,,Grass,,"16:16, Sat Nov 23, 2024",
ODI # 451,https://www.espncricinfo.com/cricket-grounds/niaz-stadium-hyderabad-58936, Hyderabad,,1959,Niaz Ahmed,"15,000",,No,,,Grass,,"15:46, Sat Nov 23, 2024",
ODI # 752,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441,"Jolimont,  Melbourne",MCG,1853,,"90,000","Members End, Great Southern Stand End",Since March 1985,"Australia, Victoria","Australian Rules Football, Soccer, Rugby Union, Rugby League, Lawn Bowls, Squash",Grass,David Sandurski,"21:46, Sat Nov 23, 2024","172.9 m long, 147.8 m wide"
ODI # 751,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544,"Moore Park,  Sydney","SCG; Sydney Cricket Ground No. 1; Garrison Ground (1848-1877), Association Ground;",1848,,"44,002","Paddington End, Randwick End",Yes,,Australian Rules Football (Sydney Swans),Grass,Tom Parker,"21:46, Sat Nov 23, 2024","156 m long, 154 m wide"
ODI # 750,https://www.espncricinfo.com/cricket-grounds/eden-park-auckland-58792, Auckland,Eden Park No. 1,1900,,"41,000","Broadcasting End, Terraces End",Yes,Auckland,Rugby,grass,,"23:46, Sat Nov 23, 2024",
ODI # 749,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441,"Jolimont,  Melbourne",MCG,1853,,"90,000","Members End, Great Southern Stand End",Since March 1985,"Australia, Victoria","Australian Rules Football, Soccer, Rugby Union, Rugby League, Lawn Bowls, Squash",Grass,David Sandurski,"21:46, Sat Nov 23, 2024","172.9 m long, 147.8 m wide"
ODI # 748,https://www.espncricinfo.com/cricket-grounds/lavington-sports-oval-albury-56319, Albury,Lavington Sports Club,,,,,,,,,,"21:46, Sat Nov 23, 2024",
ODI # 747,https://www.espncricinfo.com/cricket-grounds/ami-stadium-christchurch-58812, Christchurch,"Lancaster Park, Jade Stadium (1998-2007)",,,"36,500","Hadlee Stand End, Port Hills End",Yes,Canterbury,,,,"23:46, Sat Nov 23, 2024",
ODI # 746,https://www.espncricinfo.com/cricket-grounds/w-a-c-a-ground-perth-56490,"East Perth,  Perth",Western Australia Cricket Association Ground,1893,"Western Australian Cricket Association, owners of the ground","18,000","Members End, Prindiville Stand End","Yes, since 1986","Western Australia, Western Australia Women","Australian Rules Football, Rugby League, Rugby Union, Soccer, Baseball",Grass,Matt Page,"18:46, Sat Nov 23, 2024","149 m long, 139 m wide"
ODI # 745,https://www.espncricinfo.com/cricket-grounds/adelaide-oval-56293,"North Adelaide,  Adelaide",,1873,,"50,000","City End, Cathedral End",Yes,South Australia,"Australian Rules Football (since 1877), Rugby League (1997-1998) as well as archery, athletics, baseball, cycling, american football, highland games, hockey, lacrosse, lawn tennis, rugby union, quoits and soccer",Grass,Les Burdett,"21:15, Sat Nov 23, 2024","190.2 m long, 126.2 m wide"
ODI # 744,https://www.espncricinfo.com/cricket-grounds/basin-reserve-wellington-58895, Wellington,,,,"11,600","Vance Stand End, Scoreboard End",,Wellington,,,,"23:46, Sat Nov 23, 2024",
ODI # 743,https://www.espncricinfo.com/cricket-grounds/bellerive-oval-hobart-56407,"Bellerive,  Hobart",Blundstone Arena,1914,,"15,000","Church Street End, River End","Yes, 2009",Tasmania,"Australian Rules (Clarence 'Roos [SFL], Tasmanian Devils [VFL])",Grass,Marcus Pamplin,"21:46, Sat Nov 23, 2024","175 m long, 135.5 m wide"
ODI # 742,https://www.espncricinfo.com/cricket-grounds/berri-oval-56326, Berri,,,,,,,,,,,"21:16, Sat Nov 23, 2024",
ODI # 741,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441,"Jolimont,  Melbourne",MCG,1853,,"90,000","Members End, Great Southern Stand End",Since March 1985,"Australia, Victoria","Australian Rules Football, Soccer, Rugby Union, Rugby League, Lawn Bowls, Squash",Grass,David Sandurski,"21:46, Sat Nov 23, 2024","172.9 m long, 147.8 m wide"
ODI # 740,https://www.espncricinfo.com/cricket-grounds/carisbrook-dunedin-58822, Dunedin,,,,,"Railway End, Hillside End",Yes,Otago,,,,"23:46, Sat Nov 23, 2024",
ODI # 739,https://www.espncricinfo.com/cricket-grounds/w-a-c-a-ground-perth-56490,"East Perth,  Perth",Western Australia Cricket Association Ground,1893,"Western Australian Cricket Association, owners of the ground","18,000","Members End, Prindiville Stand End","Yes, since 1986","Western Australia, Western Australia Women","Australian Rules Football, Rugby League, Rugby Union, Soccer, Baseball",Grass,Matt Page,"18:46, Sat Nov 23, 2024","149 m long, 139 m wide"
ODI # 738,https://www.espncricinfo.com/cricket-grounds/manuka-oval-canberra-56370,"Manuka,  Canberra",,1929,,"12,000","Pool End, Mall End","Yes, Installed in 2012","Australian Capital Territory, Prime Minister's XI",Australian Rules Football,,Brad van Dam,"21:46, Sat Nov 23, 2024","179 m long, 150 m wide"
ODI # 737,https://www.espncricinfo.com/cricket-grounds/basin-reserve-wellington-58895, Wellington,,,,"11,600","Vance Stand End, Scoreboard End",,Wellington,,,,"23:46, Sat Nov 23, 2024",
ODI # 736,https://www.espncricinfo.com/cricket-grounds/eastern-oval-ballarat-56322, Ballarat,,,,,"Bowling Club End, City End",,Victoria,,,,"21:46, Sat Nov 23, 2024",
ODI # 735,https://www.espncricinfo.com/cricket-grounds/brisbane-cricket-ground-woolloongabba-brisbane-56336,"Woolloongabba,  Brisbane",,1895,,"37,000","Stanley Street End, Vulture Street End",Yes,Queensland,"Australian Rules Football (Brisbane Lions), Rugby Union, Athletics, Baseball, Cycling, Greyhound Racing, Pony Racing, Rugby League, Soccer",Grass,Kevin Mitchell jnr,"20:46, Sat Nov 23, 2024","170.6 m long, 149.9 m wide"
